Compound_Name,Plant_Name,Common_Name,Plant_Family,Plant_Part,Country_of_Use,PubChem_CID,Canonical_SMILES,Molecular_Formula,Reported_Activity,Assay_Target,DOI_Reference,Reference_Year,Compound_ID,Compound_Class,Data_Source,Notes,MW,LogP,HBD,HBA,TPSA,Rotatable_Bonds,Heavy_Atom_Count,Aromatic_Rings,Fraction_CSP3,QED_Score,Lipinski_Violations,Lipinski_Compliant,Veber_Compliant,Ghose_Compliant,PC1,PC2
Aloesaponarin I,Aloe secundiflora,Aloe,Asphodelaceae,Roots,Kenya,11098986,CC1=C2C(=CC(=C1C(=O)OC)O)C(=O)C3=C(C2=O)C(=CC=C3)O,C17H12O6,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_149,Anthraquinone,Isolation (Extraction),Root isolate.,312.28,1.97,2.0,6.0,100.9,1.0,23.0,2.0,0.118,0.666,0.0,True,True,True,-0.46612251872936544,-0.5048277230142776
Aloesaponarin II,Aloe secundiflora,Aloe,Asphodelaceae,Roots,Kenya,3085033,CC1=CC(=CC2=C1C(=O)C3=C(C2=O)C=CC=C3O)O,C15H10O4,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_150,Anthraquinone,Isolation (Extraction),Root isolate.,254.24,2.18,2.0,4.0,74.6,0.0,19.0,2.0,0.067,0.644,0.0,True,True,False,-1.0187914199509984,-0.7081964685991489
Isoxanthorin,Aloe secundiflora,Aloe,Asphodelaceae,Roots,Kenya,N/A,N/A,N/A,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_151,Anthraquinone,Isolation (Extraction),Root isolate.,,,,,,,,,,,,,,,,
Asphodelin,Aloe secundiflora,Aloe,Asphodelaceae,Roots,Kenya,182665,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC(=C3O)C4=C5C(=C(C=C4C)O)C(=O)C6=C(C5=O)C=CC=C6O,C30H18O8,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_152,Bianthraquinoid,Isolation (Extraction),Dimeric anthraquinone.,506.47,4.34,4.0,8.0,149.2,1.0,38.0,4.0,0.067,0.257,1.0,True,False,False,0.5243230900782246,0.3235352399679101
Hydroxyacetophenone,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,7469,CC(=O)C1=CC=C(C=C1)O,C8H8O2,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_153,Phenone,Isolation (Extraction),Isolated from C. edulis.,136.15,1.59,1.0,2.0,37.3,1.0,10.0,1.0,0.125,0.595,0.0,True,True,False,-1.7806330812475744,-0.8389046243771549
Catalponol,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,169570,CC(=CCC1CC(C2=CC=CC=C2C1=O)O)C,C15H18O2,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_154,Iridoid,Isolation (Extraction),Root isolate.,230.31,3.28,1.0,2.0,37.3,2.0,17.0,1.0,0.4,0.792,0.0,True,True,False,-1.7137799279177377,-0.10243611248258905
Carissone,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,11770473,CC1=C2CC(CCC2(CCC1=O)C)C(C)(C)O,C15H24O2,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_155,Eudesmane sesquiterpene,Isolation (Extraction),Bioactive sesquiterpene.,236.35,3.24,1.0,2.0,37.3,1.0,17.0,0.0,0.8,0.759,0.0,True,True,False,-1.7258095643146325,-0.27243438330122166
Vanillin,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,1183,COC1=C(C=CC(=C1)C=O)O,C8H8O3,Antidiabetic / Antioxidant,Free radicals,10.3390/molecules28207202,2023,AFRO11_156,Phenolic aldehyde,Isolation (Extraction),Phenolic aldehyde.,152.15,1.21,1.0,3.0,46.53,2.0,11.0,1.0,0.125,0.648,0.0,True,True,False,-1.5114383527066104,-0.7356439323927817
Coniferaldehyde,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,5280536,COC1=C(C=CC(=C1)C=CC=O)O,C10H10O3,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_157,Phenylpropanoid,Isolation (Extraction),Phenolic isolate.,178.19,1.61,1.0,3.0,46.53,3.0,13.0,1.0,0.1,0.565,0.0,True,True,False,-1.4618487013307173,-0.4222837831231604
(-)-Nortrachelogenin,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,394846,COC1=C(C=CC(=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)O)OC)O)O,C20H22O7,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_158,Lignan,Isolation (Extraction),Lignan isolate.,374.39,1.8,3.0,7.0,105.45,6.0,27.0,2.0,0.35,0.662,0.0,True,True,True,0.14626065476313888,0.4116387414619019
Scopoletin,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,5280460,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C10H8O4,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_159,Coumarin,Isolation (Extraction),Bioactive coumarin.,192.17,1.51,1.0,4.0,59.67,1.0,14.0,2.0,0.1,0.695,0.0,True,True,False,-1.303639254298148,-0.7801860387446578
Isofraxidin,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,5318565,COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC)O,C11H10O5,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_160,Coumarin,Isolation (Extraction),Bioactive coumarin.,222.2,1.52,1.0,5.0,68.9,2.0,16.0,2.0,0.182,0.78,0.0,True,True,False,-1.0456704648358586,-0.5617085670677389
(+)-Lariciresinol,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,332427,COC1=C(C=CC(=C1)CC2COC(C2CO)C3=CC(=C(C=C3)O)OC)O,C20H24O6,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_161,Lignan,Isolation (Extraction),Lignan isolate.,360.41,2.65,3.0,6.0,88.38,6.0,26.0,2.0,0.4,0.734,0.0,True,True,True,-0.18820311960067046,0.5961636082846004
Carissanol,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,340931,COC1=C(C=CC(=C1)CC2COC(C2(CC3=CC(=C(C=C3)O)OC)O)O)O,C20H24O7,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_162,Lignan,Isolation (Extraction),Lignan isolate.,376.41,1.6,4.0,7.0,108.61,6.0,27.0,2.0,0.4,0.606,0.0,True,True,True,0.3464383604695799,0.3512684592099758
Carinol,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,586373,COC1=C(C=CC(=C1)CC(CO)C(CC2=CC(=C(C=C2)O)OC)(CO)O)O,C20H26O7,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_163,Lignan,Isolation (Extraction),Lignan isolate.,378.42,1.23,5.0,7.0,119.61,9.0,27.0,2.0,0.4,0.445,0.0,True,True,True,0.7089175602077885,0.7653511861845889
Lupeol,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,259846,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,C30H50O,Antidiabetic / Cytotoxic,Metabolic pathways,10.3390/molecules28207202,2023,AFRO11_164,Pentacyclic triterpenoid,Isolation (Extraction),Bioactive triterpene.,426.73,8.02,1.0,1.0,20.23,1.0,31.0,0.0,0.933,0.421,1.0,True,True,False,-2.015617263698058,1.1949654116558368
Oleuropein,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,5281544,CC=C1C(C(=COC1OC2C(C(C(C(O2)CO)O)O)O)C(=O)OC)CC(=O)OCCC3=CC(=C(C=C3)O)O,C25H32O13,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_165,Secoiridoid glucoside,Isolation (Extraction),Bioactive glycoside.,540.52,-0.63,6.0,13.0,201.67,9.0,38.0,1.0,0.52,0.131,3.0,False,False,False,2.558651579694037,0.537368810567915
Carissol,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_166,Triterpenoid,Isolation (Extraction),Triterpene isolate.,,,,,,,,,,,,,,,,
3-O-acetyl chlorogenic acid,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_167,Phenolic acid derivative,Isolation (Extraction),Chlorogenic acid derivative.,,,,,,,,,,,,,,,,
Kaempferol 3-O-β-D-glucopyranoside,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,N/A,N/A,N/A,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_168,Flavonoid glycoside,Isolation (Extraction),Flavonol glycoside.,,,,,,,,,,,,,,,,
Quercetin-3-O-β-D-glucopyranoside,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,N/A,N/A,N/A,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_169,Flavonoid glycoside,Isolation (Extraction),Flavonol glycoside.,,,,,,,,,,,,,,,,
Rhamnetin-3-O-β-D-glucopyranoside,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,14704553,COC1=CC(=C2C(=C1)OC(=C(C2=O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC(=C(C=C4)O)O)O,C22H22O12,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_170,Flavonoid glycoside,Isolation (Extraction),Flavonol glycoside.,478.41,-0.24,7.0,12.0,199.51,5.0,34.0,3.0,0.318,0.238,2.0,False,False,True,2.2714583161277204,-0.192438913143158
Isorhamnetin-3-O-β-D-glucopyranoside,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,13245586,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O,C22H22O12,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_171,Flavonoid glycoside,Isolation (Extraction),Flavonol glycoside.,478.41,-0.24,7.0,12.0,199.51,5.0,34.0,3.0,0.318,0.254,2.0,False,False,True,2.2714583161277204,-0.192438913143158
(+)-Butyl-O-α-L-rhamnoside,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,13059942,CCCCOC1C(C(C(C(O1)C)O)O)O,C10H20O5,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_172,Glycoside,Isolation (Extraction),Glycosidic derivative.,220.26,-0.37,3.0,5.0,79.15,4.0,15.0,0.0,1.0,0.563,0.0,True,True,False,-0.39605046767277335,-0.6877555092765605
Peonidin-3-rutinoside,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,90470731,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC4=C(C=C(C=C4[O+]=C3C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O)O)O.[Cl-],C28H33ClO15,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_173,Anthocyanin,Isolation (Extraction),Fruit anthocyanin.,645.01,-3.46,9.0,14.0,239.52,7.0,44.0,3.0,0.464,0.114,3.0,False,False,False,3.872289920960379,-0.3291663902714686
"Malvidin-3-O-β-D-(6""-acetylglucoside)",Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,α-Glucosidase inhibition,α-Glucosidase,10.3390/molecules28207202,2023,AFRO11_174,Anthocyanin,Isolation (Extraction),Active fruit component.,,,,,,,,,,,,,,,,
Carissaeduloside A,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,Cytotoxicity / Antidiabetic,Cancer cells / Metabolic targets,10.3390/molecules28207202,2023,AFRO11_175,Lignan glycoside,Isolation (Extraction),Root bark glycoside.,,,,,,,,,,,,,,,,
Carissaeduloside B,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,Cytotoxicity / Antidiabetic,Cancer cells / Metabolic targets,10.3390/molecules28207202,2023,AFRO11_176,Lignan glycoside,Isolation (Extraction),Root bark glycoside.,,,,,,,,,,,,,,,,
Carissaeduloside C,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,Cytotoxicity / Antidiabetic,Cancer cells / Metabolic targets,10.3390/molecules28207202,2023,AFRO11_177,Lignan glycoside,Isolation (Extraction),Root bark glycoside.,,,,,,,,,,,,,,,,
Carissaeduloside D,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,Cytotoxicity / Antidiabetic,Cancer cells / Metabolic targets,10.3390/molecules28207202,2023,AFRO11_178,Lignan glycoside,Isolation (Extraction),Root bark glycoside.,,,,,,,,,,,,,,,,
Carissaeduloside E,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,Cytotoxicity / Antidiabetic,Cancer cells / Metabolic targets,10.3390/molecules28207202,2023,AFRO11_179,Lignan glycoside,Isolation (Extraction),Root bark glycoside.,,,,,,,,,,,,,,,,
Carissaeduloside F,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,Cytotoxicity / Antidiabetic,Cancer cells / Metabolic targets,10.3390/molecules28207202,2023,AFRO11_180,Lignan glycoside,Isolation (Extraction),Root bark glycoside.,,,,,,,,,,,,,,,,
Carissaeduloside G,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,Cytotoxicity / Antidiabetic,Cancer cells / Metabolic targets,10.3390/molecules28207202,2023,AFRO11_181,Lignan glycoside,Isolation (Extraction),Root bark glycoside.,,,,,,,,,,,,,,,,
Carissaeduloside H,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,Cytotoxicity / Antidiabetic,Cancer cells / Metabolic targets,10.3390/molecules28207202,2023,AFRO11_182,Lignan glycoside,Isolation (Extraction),Root bark glycoside.,,,,,,,,,,,,,,,,
Carissaeduloside I,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,Cytotoxicity / Antidiabetic,Cancer cells / Metabolic targets,10.3390/molecules28207202,2023,AFRO11_183,Lignan glycoside,Isolation (Extraction),Root bark glycoside.,,,,,,,,,,,,,,,,
Carissaeduloside J,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,Cytotoxicity / Antidiabetic,Cancer cells / Metabolic targets,10.3390/molecules28207202,2023,AFRO11_184,Lignan glycoside,Isolation (Extraction),Root bark glycoside.,,,,,,,,,,,,,,,,
Sarhamnoloside,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,nan,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_185,Glycoside,Isolation (Extraction),Root bark glycoside.,,,,,,,,,,,,,,,,
(-)-Lyoniresinol 9-O-β-D-glucopyranoside,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,N/A,N/A,N/A,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_186,Lignan glycoside,Isolation (Extraction),Root bark isolate.,,,,,,,,,,,,,,,,
Khaephuoside A,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_187,Lignan glycoside,Isolation (Extraction),Root bark isolate.,,,,,,,,,,,,,,,,
(-)-Lyoniresinol 9'-O-D-glucopyranoside,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,N/A,N/A,N/A,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_188,Lignan glycoside,Isolation (Extraction),Root bark isolate.,,,,,,,,,,,,,,,,
Guaiacylglycerol,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,14579,COC1=C(C=CC(=C1)C(C(CO)O)O)O,C10H14O5,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_189,Phenylpropanoid,Isolation (Extraction),Root bark isolate.,214.22,-0.21,4.0,5.0,90.15,4.0,15.0,1.0,0.4,0.556,0.0,True,True,False,-0.2125107530189883,-0.687506849433163
(+)-1-Acetoxypinoresinol 4'-β-D-glucoside,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,N/A,N/A,N/A,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_190,Lignan glycoside,Isolation (Extraction),Root bark isolate.,,,,,,,,,,,,,,,,
"Acetoxypinoresinol-4'-β-D-glucoside 4""-O-methyl ether",Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,N/A,N/A,N/A,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_191,Lignan glycoside,Isolation (Extraction),Root bark isolate.,,,,,,,,,,,,,,,,
1-(1-Hydroxyethyl)-2-(6-(1-hydroxyethyl)phenoxy)benzene,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,18508382,CC(C1=CC=CC=C1OC2=CC=CC=C2C(C)O)O,C16H18O3,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_192,Diphenyl ether,Isolation (Extraction),Root bark isolate.,258.32,3.59,2.0,3.0,49.69,4.0,19.0,2.0,0.25,0.881,0.0,True,True,False,-1.293290713226191,0.3334207105878428
Markhamioside F,Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,None,,,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_193,Phenylethanoid glycoside,Isolation (Extraction),Root bark isolate.,,,,,,,,,,,,,,,,
"3,4-Dimethoxyphenyl-2-O-β-D-apiofuranosyl-(1→2)-β-D-glucopyranoside",Carissa edulis,Natal plum,Apocynaceae,"Roots, fruits, leaves",Kenya,163040208,COC1=C(C=C(C=C1)OC2C(C(C(C(O2)CO)O)O)OC3C(C(CO3)(CO)O)O)OC,C19H28O12,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_194,Phenolic glycoside,Isolation (Extraction),Root bark isolate.,448.42,-2.65,6.0,12.0,176.76,8.0,31.0,1.0,0.684,0.244,2.0,False,False,False,2.2914679741020816,-0.24493660267275294
Dovyalicin A,Dovyalis abyssinica,African apricot,Salicaceae,"Leaves, twigs, roots",Kenya,N/A,N/A,N/A,Antidiabetic,Cellular targets,10.3390/molecules28207202,2023,AFRO11_195,Spermidine alkaloid,Isolation (Extraction),Leaf and twig alkaloid.,,,,,,,,,,,,,,,,
Dovyalicin B,Dovyalis abyssinica,African apricot,Salicaceae,"Leaves, twigs, roots",Kenya,N/A,N/A,N/A,Antidiabetic,Cellular targets,10.3390/molecules28207202,2023,AFRO11_196,Spermidine alkaloid,Isolation (Extraction),Leaf and twig alkaloid.,,,,,,,,,,,,,,,,
Dovyalicin E,Dovyalis abyssinica,African apricot,Salicaceae,"Leaves, twigs, roots",Kenya,16086546,C1CNC(CC(=O)N(C1)CCCCNC(=O)C2=CC=CC=C2)C3=CC=CC=C3,C23H29N3O2,Antidiabetic,Cellular targets,10.3390/molecules28207202,2023,AFRO11_197,Spermidine alkaloid,Isolation (Extraction),Leaf and twig alkaloid.,379.5,3.15,2.0,3.0,61.44,7.0,28.0,2.0,0.391,0.727,0.0,True,True,True,-0.772158814421837,0.9788198810537242
N-(4-Benzoylaminobutyl)-N-(3-dimethylaminopropyl)-3-phenylpropenamide,Dovyalis abyssinica,African apricot,Salicaceae,"Leaves, twigs, roots",Kenya,16086548,CN(C)CCCN(CCCCNC(=O)C1=CC=CC=C1)C(=O)C=CC2=CC=CC=C2,C25H33N3O2,Antidiabetic,Cellular targets,10.3390/molecules28207202,2023,AFRO11_198,Spermidine alkaloid,Isolation (Extraction),Alkaloid isolate.,407.56,3.69,1.0,3.0,52.65,12.0,30.0,2.0,0.36,0.431,0.0,True,False,True,-0.8111143011907567,2.041070172726361
Methyl 1-hydroxy-6-oxocyclohex-2-enecarboxylate,Dovyalis abyssinica,African apricot,Salicaceae,"Leaves, twigs, roots",Kenya,23649674,COC(=O)C1(C=CCCC1=O)O,C8H10O4,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_199,Cyclohexene derivative,Isolation (Extraction),Plant isolate.,170.16,-0.19,1.0,4.0,63.6,1.0,12.0,0.0,0.5,0.336,0.0,True,True,False,-1.1333969907304955,-1.2092293126813765
4-Hydroxy-2-(1-hydroxy-6-oxocyclohex-2-enecarbonyloxymethyl)phenyl 2-O-benzoyl-α-D-glucopyranoside,Dovyalis abyssinica,African apricot,Salicaceae,"Leaves, twigs, roots",Kenya,73238325,C1CC(=O)C(C=C1)(C(=O)OCC2=C(C=CC(=C2)O)OC3C(C(C(C(O3)CO)O)O)OC(=O)C4=CC=CC=C4)O,C27H28O12,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_200,Phenolic glucoside,Isolation (Extraction),Plant isolate.,544.51,0.13,5.0,12.0,189.28,8.0,39.0,2.0,0.37,0.172,2.0,False,False,False,2.1230151567889393,0.5777090637597206
trans-2-[3-O-Acetyl-4-O-[(E)-4-hydroxycinnamoyl-α-D-glucopyranosyloxy] cyclohexanol,Dovyalis abyssinica,African apricot,Salicaceae,"Leaves, twigs, roots",Kenya,None,,,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_201,Cyclohexanol glucoside,Isolation (Extraction),Plant isolate.,,,,,,,,,,,,,,,,
Benzoic acid,Dovyalis abyssinica,African apricot,Salicaceae,"Leaves, twigs, roots",Kenya,243,C1=CC=C(C=C1)C(=O)O,C7H6O2,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_202,Aromatic carboxylic acid,Isolation (Extraction),Plant isolate.,122.12,1.38,1.0,1.0,37.3,1.0,9.0,1.0,0.0,0.611,0.0,True,True,False,-1.8882400800490267,-0.9049329157209726
Tremulacin,Dovyalis abyssinica,African apricot,Salicaceae,"Leaves, twigs, roots",Kenya,442544,C1CC(=O)C(C=C1)(C(=O)OCC2=CC=CC=C2OC3C(C(C(C(O3)CO)O)O)OC(=O)C4=CC=CC=C4)O,C27H28O11,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_203,Phenolic glucoside,Isolation (Extraction),Bioactive glucoside.,528.51,0.42,4.0,11.0,169.05,8.0,38.0,2.0,0.37,0.213,2.0,False,False,False,1.6787431345503614,0.6509729028803458
Betulinic acid,Dovyalis abyssinica,African apricot,Salicaceae,"Leaves, twigs, roots",Kenya,64971,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O,C30H48O3,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_204,Lupane triterpenoid,Isolation (Extraction),Active triterpene.,456.71,7.09,2.0,2.0,57.53,2.0,33.0,0.0,0.9,0.436,1.0,True,True,False,-1.3273643293832575,1.1657903057646768
Dihydrooroxylin A,Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,177032,COC1=C(C2=C(C=C1O)OC(CC2=O)C3=CC=CC=C3)O,C16H14O5,Inhibition of proinflammatory cytokines,Proinflammatory cytokines,10.3390/molecules28207202,2023,AFRO11_205,Flavanone,Isolation (Extraction),Leaf isolate.,286.28,2.81,2.0,5.0,75.99,2.0,21.0,2.0,0.188,0.887,0.0,True,True,True,-0.8439528054479258,-0.16807818373719483
7-Hydroxy-6-methoxyflavanone,Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,86206540,COC1=C(C=C2C(=C1)C(=O)CC(O2)C3=CC=CC=C3)O,C16H14O4,Inhibition of proinflammatory cytokines,Proinflammatory cytokines,10.3390/molecules28207202,2023,AFRO11_206,Flavanone,Isolation (Extraction),Leaf isolate.,270.28,3.11,1.0,4.0,55.76,2.0,20.0,2.0,0.188,0.911,0.0,True,True,True,-1.2894138995000783,-0.09255603790664874
"4',5,7-Trihydroxy-6-methylflavanone",Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,301798,CC1=C(C2=C(C=C1O)OC(CC2=O)C3=CC=C(C=C3)O)O,C16H14O5,Inhibition of proinflammatory cytokines,Proinflammatory cytokines,10.3390/molecules28207202,2023,AFRO11_207,Flavanone,Isolation (Extraction),Leaf isolate.,286.28,2.82,3.0,5.0,86.99,1.0,21.0,2.0,0.188,0.75,0.0,True,True,True,-0.6593629372417148,-0.36266916852156156
Methylquercetin,Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,5281679,CC1=C(C2=C(C=C1O)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)O)O,C16H12O7,Antidiabetic / Anti-inflammatory,Cytokines / Metabolic targets,10.3390/molecules28207202,2023,AFRO11_208,Flavonoid,Isolation (Extraction),Leaf isolate.,316.26,2.3,5.0,7.0,131.36,1.0,23.0,3.0,0.062,0.435,0.0,True,True,True,0.24010727872548,-0.5020919672659285
"3,3'-Di-O-methylquercetin",Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,5316900,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC)O,C17H14O7,Antidiabetic / Cytotoxic,Cancer cell lines / Targets,10.3390/molecules28207202,2023,AFRO11_209,Flavonoid,Isolation (Extraction),Bioactive seed isolate.,330.29,2.59,3.0,7.0,109.36,3.0,24.0,3.0,0.118,0.677,0.0,True,True,True,-0.1307858222570195,-0.01575967168401775
Kaempferol-3-methyl ether,Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,5280862,COC1=C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,C16H12O6,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_210,Flavonoid,Isolation (Extraction),Leaf isolate.,300.27,2.59,3.0,6.0,100.13,2.0,22.0,3.0,0.062,0.672,0.0,True,True,True,-0.389918631600132,-0.2319594903801635
Jaceidin,Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,5464461,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(O2)C=C(C(=C3O)OC)O)OC)O,C18H16O8,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_211,Flavone,Isolation (Extraction),Leaf isolate.,360.32,2.6,3.0,8.0,118.59,4.0,26.0,3.0,0.167,0.65,0.0,True,True,True,0.12718296720526998,0.20271779999290115
7-Hydroxy-6-methoxyflavone,Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,14376438,COC1=C(C=C2C(=C1)C(=O)C=C(O2)C3=CC=CC=C3)O,C16H12O4,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_212,Flavone,Isolation (Extraction),Leaf isolate.,268.27,3.17,1.0,4.0,59.67,2.0,20.0,3.0,0.062,0.775,0.0,True,True,True,-1.278462676077288,-0.08543181213891332
